,precision,recall,f1-score,support,AP
更鸡独立,0.9806451612903225,0.8941176470588236,0.9353846153846154,170.0,0.9435316147801123
右蹬腿,0.8823529411764706,0.8282208588957055,0.8544303797468354,163.0,0.8695178704431806
手挥琵琶,0.8225806451612904,0.6375,0.7183098591549296,160.0,0.7284309256661992
白鹤亮翅,0.7380952380952381,0.5886075949367089,0.6549295774647887,158.0,0.6519877732494194
倒撵猴,0.8538461538461538,0.7115384615384616,0.7762237762237763,156.0,0.7489905900723209
高探马,0.8188976377952756,0.6624203821656051,0.732394366197183,157.0,0.7342935155208559
上步搬拦捶,0.7407407407407407,0.6172839506172839,0.6734006734006734,162.0,0.6855076450153462
单鞭,0.7540983606557377,0.6301369863013698,0.6865671641791045,146.0,0.683418146137814
右通背,0.9041095890410958,0.8148148148148148,0.8571428571428571,162.0,0.8724045561319669
玉女穿梭,0.9803921568627451,0.9036144578313253,0.9404388714733543,166.0,0.9504206411297307
micro avg,0.8541210795040116,0.731875,0.7882867721305957,1600.0,0.7943556730903897
macro avg,0.8475758624665071,0.7288255154160098,0.7829222140368117,1600.0,0.7868503278146946
weighted avg,0.8499008118309017,0.731875,0.785670326490618,1600.0,0.7898450437577718
samples avg,0.731875,0.731875,0.731875,1600.0,0.79875
