,precision,recall,f1-score,support,AP
更鸡独立,0.9248554913294798,0.9580838323353293,0.9411764705882353,167.0,0.9853157263767022
右蹬腿,0.8771929824561403,0.9090909090909091,0.8928571428571428,165.0,0.9692842893273195
手挥琵琶,0.7466666666666667,0.7044025157232704,0.7249190938511327,159.0,0.6150811209336041
白鹤亮翅,0.4603174603174603,0.1870967741935484,0.26605504587155965,155.0,0.5001042738282068
倒撵猴,0.802547770700637,0.7974683544303798,0.8,158.0,0.8217238285281669
高探马,0.7421383647798742,0.7151515151515152,0.728395061728395,165.0,0.6524150771609382
上步搬拦捶,0.37735849056603776,0.12903225806451613,0.19230769230769232,155.0,0.4154047897015079
单鞭,0.8015267175572519,0.6687898089171974,0.7291666666666666,157.0,0.616266670471128
右通背,0.9142857142857143,0.8258064516129032,0.8677966101694915,155.0,0.9101022077461063
玉女穿梭,0.9617834394904459,0.9207317073170732,0.940809968847352,164.0,0.9944468748519251
micro avg,0.8116691285081241,0.686875,0.7440758293838864,1600.0,0.8177433598109921
macro avg,0.7608673098149709,0.6815654126836642,0.7083483752887668,1600.0,0.7480144858925605
weighted avg,0.7639308274692599,0.686875,0.7129199505117917,1600.0,0.7516070541867502
samples avg,0.6378125,0.686875,0.6536458333333333,1600.0,0.8914590773809524
