,precision,recall,f1-score,support,AP
更鸡独立,0.9571428571428572,0.9054054054054054,0.9305555555555555,148.0,0.9880857634356157
右蹬腿,0.5802469135802469,0.8867924528301887,0.701492537313433,159.0,0.9240857037581435
手挥琵琶,0.3443223443223443,0.6266666666666667,0.4444444444444444,150.0,0.6529644495301173
白鹤亮翅,0.8857142857142857,0.5705521472392638,0.6940298507462688,163.0,0.6854045340658332
倒撵猴,0.8260869565217391,0.8042328042328042,0.8150134048257373,189.0,0.8606096666935065
高探马,0.45147679324894513,0.6858974358974359,0.544529262086514,156.0,0.6801540344520823
上步搬拦捶,0.36971830985915494,0.6176470588235294,0.46255506607929514,170.0,0.6128723329503074
单鞭,0.5180180180180181,0.6804733727810651,0.5882352941176472,169.0,0.446873181901502
右通背,0.9540229885057471,0.5684931506849316,0.7124463519313307,146.0,0.765877364469074
玉女穿梭,1.0,0.88,0.9361702127659575,150.0,0.9970556421301526
micro avg,0.606187729417934,0.7225,0.6592529227259767,1600.0,0.7619960461767237
macro avg,0.6886749466913338,0.7226160494561291,0.6829471979866184,1600.0,0.7613982673386335
weighted avg,0.6851134443178544,0.7225,0.6815787447669734,1600.0,0.7579234303892348
samples avg,0.55515625,0.7225,0.6049375,1600.0,0.8965873015873015
