,precision,recall,f1-score,support,AP
更鸡独立,0.9862068965517241,0.89937106918239,0.9407894736842105,159.0,0.9912814665535876
右蹬腿,0.8951048951048951,0.9078014184397163,0.9014084507042254,141.0,0.9714820865145481
手挥琵琶,0.8881118881118881,0.7341040462427746,0.8037974683544303,173.0,0.9072250039005171
白鹤亮翅,0.8648648648648649,0.6075949367088608,0.7137546468401488,158.0,0.8110378530916731
倒撵猴,0.8970588235294118,0.7721518987341772,0.8299319727891157,158.0,0.9178403029283879
高探马,0.8536585365853658,0.65625,0.7420494699646644,160.0,0.8151048071949268
上步搬拦捶,0.808695652173913,0.5502958579881657,0.6549295774647887,169.0,0.6611491956940324
单鞭,0.9322033898305084,0.6962025316455697,0.7971014492753624,158.0,0.851730198044307
右通背,0.9849624060150376,0.81875,0.89419795221843,160.0,0.9573059260005996
玉女穿梭,0.9872611464968153,0.9451219512195121,0.9657320872274143,164.0,0.9977962850798028
micro avg,0.9138972809667674,0.75625,0.8276333789329686,1600.0,0.9000940291781117
macro avg,0.9098128499264423,0.7587643710161166,0.8243692548522791,1600.0,0.8881953125002383
weighted avg,0.9094324161395754,0.75625,0.8227802145146706,1600.0,0.8863983094588719
samples avg,0.75,0.75625,0.7520833333333333,1600.0,0.8923621031746032
