,precision,recall,f1-score,support,AP
更鸡独立,0.9072847682119205,0.9319727891156463,0.9194630872483222,147.0,0.8518147159526062
右蹬腿,0.8666666666666667,0.8333333333333334,0.8496732026143791,156.0,0.7384722222222223
手挥琵琶,0.7666666666666667,0.756578947368421,0.7615894039735099,152.0,0.6031688596491228
白鹤亮翅,0.7168674698795181,0.7391304347826086,0.72782874617737,161.0,0.5561085646935569
倒撵猴,0.7727272727272727,0.8242424242424242,0.7976539589442815,165.0,0.6550396005509642
高探马,0.7682926829268293,0.7283236994219653,0.7477744807121661,173.0,0.5889407690680953
上步搬拦捶,0.6646706586826348,0.6453488372093024,0.6548672566371682,172.0,0.4670694367079794
单鞭,0.6174496644295302,0.6216216216216216,0.6195286195286196,148.0,0.4188200616724107
右通背,0.8490566037735849,0.8181818181818182,0.8333333333333334,165.0,0.7134326758147514
玉女穿梭,0.9748427672955975,0.9627329192546584,0.9687499999999999,161.0,0.9422632231727802
micro avg,0.7894406033940917,0.785,0.7872140394860546,1600.0,0.641210873664362
macro avg,0.7904525221260221,0.78614668245318,0.7880462089169149,1600.0,0.653513012950449
weighted avg,0.7898027624022786,0.785,0.7871413457454477,1600.0,0.6520899658220373
samples avg,0.7415625,0.785,0.7554166666666666,1600.0,0.7630624999999999
